scenario_id,frequency_Hz,resistance_ohm,reactance_ohm,weight,parent_scenario_id,argon_pressure_mTorr,reported_rf_power_W,resistance_bound,reactance_bound,resistance_offset_ohm,reactance_offset_ohm,reference_plane,source_doi,evidence_class
colpo_p0100_w2000__rlo_xlo,13560000,51.8,172.4,1,colpo_p0100_w2000,100,2000,rlo,xlo,-6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w2000__rlo_xhi,13560000,51.8,186.4,1,colpo_p0100_w2000,100,2000,rlo,xhi,-6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w2000__rhi_xlo,13560000,63.8,172.4,1,colpo_p0100_w2000,100,2000,rhi,xlo,6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w2000__rhi_xhi,13560000,63.8,186.4,1,colpo_p0100_w2000,100,2000,rhi,xhi,6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w3000__rlo_xlo,13560000,42.4,164.0,1,colpo_p0100_w3000,100,3000,rlo,xlo,-6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w3000__rlo_xhi,13560000,42.4,178.0,1,colpo_p0100_w3000,100,3000,rlo,xhi,-6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w3000__rhi_xlo,13560000,54.4,164.0,1,colpo_p0100_w3000,100,3000,rhi,xlo,6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w3000__rhi_xhi,13560000,54.4,178.0,1,colpo_p0100_w3000,100,3000,rhi,xhi,6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w4000__rlo_xlo,13560000,38.8,157.5,1,colpo_p0100_w4000,100,4000,rlo,xlo,-6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w4000__rlo_xhi,13560000,38.8,171.5,1,colpo_p0100_w4000,100,4000,rlo,xhi,-6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w4000__rhi_xlo,13560000,50.8,157.5,1,colpo_p0100_w4000,100,4000,rhi,xlo,6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w4000__rhi_xhi,13560000,50.8,171.5,1,colpo_p0100_w4000,100,4000,rhi,xhi,6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w5000__rlo_xlo,13560000,33.9,154.3,1,colpo_p0100_w5000,100,5000,rlo,xlo,-6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w5000__rlo_xhi,13560000,33.9,168.3,1,colpo_p0100_w5000,100,5000,rlo,xhi,-6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w5000__rhi_xlo,13560000,45.9,154.3,1,colpo_p0100_w5000,100,5000,rhi,xlo,6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p0100_w5000__rhi_xhi,13560000,45.9,168.3,1,colpo_p0100_w5000,100,5000,rhi,xhi,6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w1000__rlo_xlo,13560000,101.2,184.4,1,colpo_p1000_w1000,1000,1000,rlo,xlo,-6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w1000__rlo_xhi,13560000,101.2,198.4,1,colpo_p1000_w1000,1000,1000,rlo,xhi,-6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w1000__rhi_xlo,13560000,113.2,184.4,1,colpo_p1000_w1000,1000,1000,rhi,xlo,6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w1000__rhi_xhi,13560000,113.2,198.4,1,colpo_p1000_w1000,1000,1000,rhi,xhi,6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w2000__rlo_xlo,13560000,68.8,157.4,1,colpo_p1000_w2000,1000,2000,rlo,xlo,-6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w2000__rlo_xhi,13560000,68.8,171.4,1,colpo_p1000_w2000,1000,2000,rlo,xhi,-6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w2000__rhi_xlo,13560000,80.8,157.4,1,colpo_p1000_w2000,1000,2000,rhi,xlo,6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w2000__rhi_xhi,13560000,80.8,171.4,1,colpo_p1000_w2000,1000,2000,rhi,xhi,6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w3000__rlo_xlo,13560000,56.8,150.1,1,colpo_p1000_w3000,1000,3000,rlo,xlo,-6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w3000__rlo_xhi,13560000,56.8,164.1,1,colpo_p1000_w3000,1000,3000,rlo,xhi,-6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w3000__rhi_xlo,13560000,68.8,150.1,1,colpo_p1000_w3000,1000,3000,rhi,xlo,6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w3000__rhi_xhi,13560000,68.8,164.1,1,colpo_p1000_w3000,1000,3000,rhi,xhi,6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w4000__rlo_xlo,13560000,50.1,144.3,1,colpo_p1000_w4000,1000,4000,rlo,xlo,-6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w4000__rlo_xhi,13560000,50.1,158.3,1,colpo_p1000_w4000,1000,4000,rlo,xhi,-6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w4000__rhi_xlo,13560000,62.1,144.3,1,colpo_p1000_w4000,1000,4000,rhi,xlo,6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w4000__rhi_xhi,13560000,62.1,158.3,1,colpo_p1000_w4000,1000,4000,rhi,xhi,6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w5000__rlo_xlo,13560000,45.2,139.6,1,colpo_p1000_w5000,1000,5000,rlo,xlo,-6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w5000__rlo_xhi,13560000,45.2,153.6,1,colpo_p1000_w5000,1000,5000,rlo,xhi,-6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w5000__rhi_xlo,13560000,57.2,139.6,1,colpo_p1000_w5000,1000,5000,rhi,xlo,6.0,-7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
colpo_p1000_w5000__rhi_xhi,13560000,57.2,153.6,1,colpo_p1000_w5000,1000,5000,rhi,xhi,6.0,7.0,rfz60_global_icp_source_terminal,10.1063/1.369268,rectangular_digitization_only_corner
