scenario_id,frequency_Hz,resistance_ohm,reactance_ohm,weight,impedance_magnitude_ohm,impedance_phase_deg,fundamental_power_W,reported_power_W,power_relative_difference,resonance_group_MHz,pressure_Pa,external_drive_vpp_V,reference_plane,source_table,source_journal_page
gec66_r24_vpp075,13560000,98.4610113543,-271.99554113,1,289.268292683,-70.1,2.06891200108,2.1,0.0148038090083,24,66,75,powered_electrode_surface,III,149
gec66_r24_vpp100,13560000,81.4703122585,-271.554692983,1,283.512544803,-73.3,3.17086528826,3.16,0.00343838235938,24,66,100,powered_electrode_surface,III,149
gec66_r24_vpp150,13560000,64.2261753621,-265.479189774,1,273.137697517,-76.4,6.30216134432,6.3,0.000343070526836,24,66,150,powered_electrode_surface,III,149
gec66_r24_vpp200,13560000,59.8741887355,-270.075012279,1,276.632302405,-77.5,10.1404123526,9.92,0.0222189871587,24,66,200,powered_electrode_surface,III,149
gec66_r34_vpp075,13560000,148.332018161,-384.411410183,1,412.037037037,-68.9,0.865072329912,0.84,0.0298480118006,34,66,75,powered_electrode_surface,IV,150
gec66_r34_vpp100,13560000,105.046394991,-321.389849589,1,338.121546961,-71.9,1.72071247315,1.68,0.0242336149719,34,66,100,powered_electrode_surface,IV,150
gec66_r34_vpp150,13560000,69.844625241,-286.514167235,1,294.904458599,-76.3,3.44320033513,3.4,0.0127059809209,34,66,150,powered_electrode_surface,IV,150
gec66_r34_vpp200,13560000,53.0406505324,-278.048827352,1,283.062645012,-79.2,4.92644214177,4.93,0.000721675096697,34,66,200,powered_electrode_surface,IV,150
