scenario_id,frequency_Hz,resistance_ohm,reactance_ohm,weight,impedance_magnitude_ohm,impedance_phase_deg,fundamental_power_W,reported_power_W,power_relative_difference,resonance_group_MHz,pressure_Pa,external_drive_vpp_V,reference_plane,source_table,source_journal_page
gec13_r24_vpp075,13560000,190.269909763,-537.305649923,1,570,-70.5,0.951349548816,0.94,0.0120739881024,24,13,75,powered_electrode_surface,III,149
gec13_r24_vpp100,13560000,162.619930551,-542.04045731,1,565.909090909,-73.3,1.41674483496,1.38,0.0266266920022,24,13,100,powered_electrode_surface,III,149
gec13_r24_vpp150,13560000,147.438636072,-582.671816517,1,601.03626943,-75.8,2.74597087753,2.67,0.0284535121825,24,13,150,powered_electrode_surface,III,149
gec13_r24_vpp200,13560000,146.518302622,-615.01946019,1,632.231404959,-76.6,4.29034893739,4.16,0.0313338791796,24,13,200,powered_electrode_surface,III,149
gec33_r24_vpp075,13560000,143.298950561,-393.710630899,1,418.97810219,-70,1.34478900154,1.31,0.0265564897269,24,33,75,powered_electrode_surface,III,149
gec33_r24_vpp100,13560000,123.819052361,-395.107076564,1,414.054054054,-72.6,2.11885353353,2.09,0.0138055184356,24,33,100,powered_electrode_surface,III,149
gec33_r24_vpp150,13560000,78.8212346187,-330.856912065,1,340.11627907,-76.6,4.66369480992,4.71,0.00983125054853,24,33,150,powered_electrode_surface,III,149
gec33_r24_vpp200,13560000,74.5365911346,-341.855675028,1,349.887133183,-77.7,7.31386573679,7.35,0.00491622628767,24,33,200,powered_electrode_surface,III,149
gec66_r24_vpp075,13560000,98.4610113543,-271.99554113,1,289.268292683,-70.1,2.06891200108,2.1,0.0148038090083,24,66,75,powered_electrode_surface,III,149
gec66_r24_vpp100,13560000,81.4703122585,-271.554692983,1,283.512544803,-73.3,3.17086528826,3.16,0.00343838235938,24,66,100,powered_electrode_surface,III,149
gec66_r24_vpp150,13560000,64.2261753621,-265.479189774,1,273.137697517,-76.4,6.30216134432,6.3,0.000343070526836,24,66,150,powered_electrode_surface,III,149
gec66_r24_vpp200,13560000,59.8741887355,-270.075012279,1,276.632302405,-77.5,10.1404123526,9.92,0.0222189871587,24,66,200,powered_electrode_surface,III,149
gec133_r24_vpp075,13560000,89.103397004,-238.317860809,1,254.430379747,-69.5,2.50242435316,2.48,0.00904207788653,24,133,75,powered_electrode_surface,III,149
gec133_r24_vpp100,13560000,69.2560382428,-219.652090923,1,230.311614731,-72.5,4.3149628347,4.3,0.00347972899921,24,133,100,powered_electrode_surface,III,149
gec133_r24_vpp150,13560000,52.3560210839,-202.445712322,1,209.10623946,-75.5,9.20547122907,9.21,0.000491723228491,24,133,150,powered_electrode_surface,III,149
gec133_r24_vpp200,13560000,46.7457342673,-194.709996196,1,200.242718447,-76.5,15.8696158349,15.6,0.0172830663413,24,133,200,powered_electrode_surface,III,149
gec13_r34_vpp075,13560000,198.874045212,-594.371868404,1,626.76056338,-71.5,0.501262030956,0.49,0.0229837366448,34,13,75,powered_electrode_surface,IV,150
gec13_r34_vpp100,13560000,143.976471966,-573.194361033,1,591,-75.9,0.719882359828,0.72,0.0001633891282,34,13,100,powered_electrode_surface,IV,150
gec13_r34_vpp150,13560000,103.101537028,-567.331112782,1,576.623376623,-79.7,1.22257802608,1.22,0.00211313613078,34,13,150,powered_electrode_surface,IV,150
gec13_r34_vpp200,13560000,84.0239757968,-583.085997416,1,589.108910891,-81.8,1.71425715421,1.7,0.00838656129797,34,13,200,powered_electrode_surface,IV,150
gec33_r34_vpp075,13560000,159.485928716,-445.426924427,1,473.11827957,-70.3,0.689696898734,0.68,0.0142601451965,34,33,75,powered_electrode_surface,IV,150
gec33_r34_vpp100,13560000,116.826173093,-404.753771326,1,421.276595745,-73.9,1.16131057363,1.15,0.00983528142119,34,33,100,powered_electrode_surface,IV,150
gec33_r34_vpp150,13560000,85.7100871195,-386.613218819,1,396,-77.5,2.16953658021,2.16,0.00441508343151,34,33,150,powered_electrode_surface,IV,150
gec33_r34_vpp200,13560000,65.5537457472,-383.505208231,1,389.067524116,-80.3,3.17021192121,3.18,0.00307801219959,34,33,200,powered_electrode_surface,IV,150
gec66_r34_vpp075,13560000,148.332018161,-384.411410183,1,412.037037037,-68.9,0.865072329912,0.84,0.0298480118006,34,66,75,powered_electrode_surface,IV,150
gec66_r34_vpp100,13560000,105.046394991,-321.389849589,1,338.121546961,-71.9,1.72071247315,1.68,0.0242336149719,34,66,100,powered_electrode_surface,IV,150
gec66_r34_vpp150,13560000,69.844625241,-286.514167235,1,294.904458599,-76.3,3.44320033513,3.4,0.0127059809209,34,66,150,powered_electrode_surface,IV,150
gec66_r34_vpp200,13560000,53.0406505324,-278.048827352,1,283.062645012,-79.2,4.92644214177,4.93,0.000721675096697,34,66,200,powered_electrode_surface,IV,150
gec133_r34_vpp075,13560000,131.501507044,-300.995057155,1,328.467153285,-66.4,1.23407589286,1.2,0.0283965773805,34,133,75,powered_electrode_surface,IV,150
gec133_r34_vpp100,13560000,88.717021202,-253.336044899,1,268.421052632,-70.7,2.30593281508,2.28,0.0113740417025,34,133,100,powered_electrode_surface,IV,150
gec133_r34_vpp150,13560000,57.1836423996,-224.340366601,1,231.513647643,-75.7,4.64356908924,4.62,0.00510153446687,34,133,150,powered_electrode_surface,IV,150
gec133_r34_vpp200,13560000,50.9557795497,-218.969417104,1,224.820143885,-76.9,7.87613293343,7.78,0.0123564181788,34,133,200,powered_electrode_surface,IV,150
