scenario_id,frequency_Hz,resistance_ohm,reactance_ohm,weight,central_scenario_id,magnitude_bound,phase_bound,impedance_magnitude_ohm,impedance_phase_deg,resonance_group_MHz,pressure_Pa,external_drive_vpp_V,reference_plane,meaning
gec66_r24_vpp075__zlow_phase_low,13560000,65.5505121585,-218.491235772,1,gec66_r24_vpp075,low,low,228.112449799,-73.3,24,66,75,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp075__zlow_phase_high,13560000,89.4969808156,-209.822735132,1,gec66_r24_vpp075,low,high,228.112449799,-66.9,24,66,75,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp075__zhigh_phase_low,13560000,110.303603272,-367.661057028,1,gec66_r24_vpp075,high,low,383.850931677,-73.3,24,66,75,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp075__zhigh_phase_high,13560000,150.59896774,-353.074338723,1,gec66_r24_vpp075,high,high,383.850931677,-66.9,24,66,75,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp100__zlow_phase_low,13560000,59.7578256587,-234.439289857,1,gec66_r24_vpp100,low,low,241.935483871,-75.7,24,66,100,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp100__zlow_phase_high,13560000,79.1656207208,-228.616672296,1,gec66_r24_vpp100,low,high,241.935483871,-70.9,24,66,100,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp100__zhigh_phase_low,13560000,82.8641849134,-325.089148601,1,gec66_r24_vpp100,high,low,335.483870968,-75.7,24,66,100,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp100__zhigh_phase_high,13560000,109.776327399,-317.015118917,1,gec66_r24_vpp100,high,high,335.483870968,-70.9,24,66,100,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp150__zlow_phase_low,13560000,46.1049751159,-230.732860834,1,gec66_r24_vpp150,low,low,235.294117647,-78.7,24,66,150,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp150__zlow_phase_high,13560000,64.4609926335,-226.292072835,1,gec66_r24_vpp150,low,high,235.294117647,-74.1,24,66,150,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp150__zhigh_phase_low,13560000,62.8224279251,-314.395539381,1,gec66_r24_vpp150,high,low,320.610687023,-78.7,24,66,150,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp150__zhigh_phase_high,13560000,87.8342533212,-308.344541993,1,gec66_r24_vpp150,high,high,320.610687023,-74.1,24,66,150,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp200__zlow_phase_low,13560000,43.4848020255,-236.930053191,1,gec66_r24_vpp200,low,low,240.88748019,-79.6,24,66,200,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp200__zlow_phase_high,13560000,60.7203525403,-233.109023634,1,gec66_r24_vpp200,low,high,240.88748019,-75.4,24,66,200,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp200__zhigh_phase_low,13560000,57.5764628379,-313.709474743,1,gec66_r24_vpp200,high,low,318.94934334,-79.6,24,66,200,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r24_vpp200__zhigh_phase_high,13560000,80.3973562877,-308.650204469,1,gec66_r24_vpp200,high,high,318.94934334,-75.4,24,66,200,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp075__zlow_phase_low,13560000,92.7300835823,-290.561751782,1,gec66_r34_vpp075,low,low,305,-72.3,34,66,75,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp075__zlow_phase_high,13560000,126.48143901,-277.538187617,1,gec66_r34_vpp075,low,high,305,-65.5,34,66,75,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp075__zhigh_phase_low,13560000,185.220141064,-580.371402395,1,gec66_r34_vpp075,high,low,609.210526316,-72.3,34,66,75,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp075__zhigh_phase_high,13560000,252.635488618,-554.357984758,1,gec66_r34_vpp075,high,high,609.210526316,-65.5,34,66,75,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp100__zlow_phase_low,13560000,68.104977984,-261.459037346,1,gec66_r34_vpp100,low,low,270.183486239,-75.4,34,66,100,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp100__zlow_phase_high,13560000,99.4611750143,-251.21025238,1,gec66_r34_vpp100,low,high,270.183486239,-68.4,34,66,100,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp100__zhigh_phase_low,13560000,111.155585059,-426.732863372,1,gec66_r34_vpp100,high,low,440.972222222,-75.4,34,66,100,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp100__zhigh_phase_high,13560000,162.332702052,-410.005603152,1,gec66_r34_vpp100,high,high,440.972222222,-68.4,34,66,100,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp150__zlow_phase_low,13560000,47.0132163608,-241.862031033,1,gec66_r34_vpp150,low,low,246.388888889,-79,34,66,150,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp150__zlow_phase_high,13560000,69.5657978388,-236.364304283,1,gec66_r34_vpp150,low,high,246.388888889,-73.6,34,66,150,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp150__zhigh_phase_low,13560000,68.7054778128,-353.459041801,1,gec66_r34_vpp150,high,low,360.074626866,-79,34,66,150,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp150__zhigh_phase_high,13560000,101.663994721,-345.42462143,1,gec66_r34_vpp150,high,high,360.074626866,-73.6,34,66,150,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp200__zlow_phase_low,13560000,40.5743499337,-247.772787167,1,gec66_r34_vpp200,low,low,251.072961373,-80.7,34,66,200,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp200__zlow_phase_high,13560000,53.4861699446,-245.30972577,1,gec66_r34_vpp200,low,high,251.072961373,-77.7,34,66,200,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp200__zhigh_phase_low,13560000,51.8274880811,-316.491606019,1,gec66_r34_vpp200,high,low,320.707070707,-80.7,34,66,200,powered_electrode_surface,four-corner envelope from the table's reported group spread
gec66_r34_vpp200__zhigh_phase_high,13560000,68.3203511538,-313.345424124,1,gec66_r34_vpp200,high,high,320.707070707,-77.7,34,66,200,powered_electrode_surface,four-corner envelope from the table's reported group spread
