source_table,journal_page,resonance_group_MHz,drive_frequency_Hz,pressure_Pa,external_drive_vpp_V,electrode_voltage_peak_V,electrode_voltage_spread_V,phase_deg,phase_spread_deg,electrode_current_peak_A,electrode_current_spread_A,dc_bias_V,dc_bias_spread_V,reported_power_W,reported_power_spread_W,reference_plane
III,149,24,13560000,13,75,57.0,3.2,-70.5,4.9,0.100,0.001,32.8,1.1,0.94,0.21,powered_electrode_surface
III,149,24,13560000,13,100,74.7,4.7,-73.3,4.8,0.132,0.007,48.8,1.6,1.38,0.35,powered_electrode_surface
III,149,24,13560000,13,150,116,4.0,-75.8,4.6,0.193,0.007,87.3,1.7,2.67,0.73,powered_electrode_surface
III,149,24,13560000,13,200,153,7.0,-76.6,4.7,0.242,0.017,123,4.0,4.16,1.23,powered_electrode_surface
III,149,24,13560000,33,75,57.4,1.5,-70.0,3.3,0.137,0.033,28.6,6.2,1.31,0.39,powered_electrode_surface
III,149,24,13560000,33,100,76.6,3.0,-72.6,3.2,0.185,0.048,44.2,6.1,2.09,0.51,powered_electrode_surface
III,149,24,13560000,33,150,117,4.0,-76.6,2.6,0.344,0.051,81.5,6.0,4.71,1.24,powered_electrode_surface
III,149,24,13560000,33,200,155,6.0,-77.7,2.5,0.443,0.085,116,4.0,7.35,2.09,powered_electrode_surface
III,149,24,13560000,66,75,59.3,2.5,-70.1,3.2,0.205,0.044,26.3,4.3,2.10,0.35,powered_electrode_surface
III,149,24,13560000,66,100,79.1,4.1,-73.3,2.4,0.279,0.031,44.0,4.0,3.16,0.70,powered_electrode_surface
III,149,24,13560000,66,150,121,5.0,-76.4,2.3,0.443,0.050,81.2,5.8,6.30,1.70,powered_electrode_surface
III,149,24,13560000,66,200,161,9.0,-77.5,2.1,0.582,0.049,116,4.0,9.92,2.43,powered_electrode_surface
III,149,24,13560000,133,75,60.3,2.2,-69.5,2.3,0.237,0.052,25.8,5.2,2.48,0.58,powered_electrode_surface
III,149,24,13560000,133,100,81.3,3.7,-72.5,2.2,0.353,0.072,42.9,5.3,4.30,1.02,powered_electrode_surface
III,149,24,13560000,133,150,124,6.0,-75.5,2.1,0.593,0.108,79.1,7.6,9.21,2.70,powered_electrode_surface
III,149,24,13560000,133,200,165,8.0,-76.5,1.9,0.824,0.112,113,11,15.6,3.60,powered_electrode_surface
IV,150,34,13560000,13,75,44.5,1.6,-71.5,2.0,0.071,0.011,19.0,4.7,0.49,0.07,powered_electrode_surface
IV,150,34,13560000,13,100,59.1,1.9,-75.9,1.1,0.100,0.010,30.7,4.9,0.72,0.09,powered_electrode_surface
IV,150,34,13560000,13,150,88.8,3.1,-79.7,1.2,0.154,0.012,56.9,8.8,1.22,0.25,powered_electrode_surface
IV,150,34,13560000,13,200,119,3.0,-81.8,1.5,0.202,0.014,83.2,11,1.70,0.41,powered_electrode_surface
IV,150,34,13560000,33,75,44.0,2.2,-70.3,2.6,0.093,0.018,15.0,5.8,0.68,0.08,powered_electrode_surface
IV,150,34,13560000,33,100,59.4,2.5,-73.9,2.2,0.141,0.021,26.9,6.6,1.15,0.10,powered_electrode_surface
IV,150,34,13560000,33,150,89.1,3.7,-77.5,2.5,0.225,0.025,52.6,10,2.16,0.18,powered_electrode_surface
IV,150,34,13560000,33,200,121,5.0,-80.3,1.6,0.311,0.026,80.7,14,3.18,0.39,powered_electrode_surface
IV,150,34,13560000,66,75,44.5,1.8,-68.9,3.4,0.108,0.032,11.5,7.5,0.84,0.20,powered_electrode_surface
IV,150,34,13560000,66,100,61.2,2.3,-71.9,3.5,0.181,0.037,24.1,9.2,1.68,0.20,powered_electrode_surface
IV,150,34,13560000,66,150,92.6,3.9,-76.3,2.7,0.314,0.046,51.8,12,3.40,0.32,powered_electrode_surface
IV,150,34,13560000,66,200,122,5.0,-79.2,1.5,0.431,0.035,78.5,13,4.93,0.43,powered_electrode_surface
IV,150,34,13560000,133,75,45.0,2.6,-66.4,4.0,0.137,0.029,11.2,5.1,1.20,0.12,powered_electrode_surface
IV,150,34,13560000,133,100,61.2,2.4,-70.7,3.2,0.228,0.033,23.0,6.4,2.28,0.13,powered_electrode_surface
IV,150,34,13560000,133,150,93.3,3.4,-75.7,2.2,0.403,0.031,50.3,9.6,4.62,0.32,powered_electrode_surface
IV,150,34,13560000,133,200,125,6.0,-76.9,2.6,0.556,0.060,76.3,16,7.78,0.92,powered_electrode_surface
