scenario_id,C1_factor,L1_factor,C2_factor,weight
c1_low_l1_low_c2_low,0.85,0.85,0.85,1
c1_low_l1_low_c2_high,0.85,0.85,1.15,1
c1_low_l1_high_c2_low,0.85,1.15,0.85,1
c1_low_l1_high_c2_high,0.85,1.15,1.15,1
c1_high_l1_low_c2_low,1.15,0.85,0.85,1
c1_high_l1_low_c2_high,1.15,0.85,1.15,1
c1_high_l1_high_c2_low,1.15,1.15,0.85,1
c1_high_l1_high_c2_high,1.15,1.15,1.15,1
